Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
24.06.2020	15:18:46	Referenz I (60 Zyklen)	0,987408	499,600000	3,279996	3,280457	3,235825	3,233717	27,245761	27,249592	4,150000	0,209101	-5428,118897	2453,922891	0,000000	0,000000	-59,536247	17099,651563	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:18:50	Referenz I (60 Zyklen)	1,002694	998,000000	6,508215	6,515265	6,464044	6,468524	27,063219	27,092534	4,150000	0,211981	-5428,807378	2462,240388	0,000000	0,000000	-59,544699	16921,752409	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:18:53	Referenz I (60 Zyklen)	1,003627	1498,000000	9,738215	9,743486	9,694044	9,696746	26,978366	26,992968	4,150000	0,212178	-5426,867114	2462,158118	0,000000	0,000000	-59,520881	16923,512045	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:18:56	Referenz I (60 Zyklen)	1,003752	1997,000000	12,973619	12,961958	12,929449	12,915218	26,960701	26,936468	4,150000	0,212201	-5425,677920	2462,033067	0,000000	0,000000	-59,506284	16926,186691	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:18:59	Referenz I (60 Zyklen)	1,936061	499,600000	2,619317	2,612466	2,575147	2,565725	21,757741	21,700825	4,150000	0,409288	-5246,234780	2466,291363	0,000000	0,000000	-57,313530	16835,107941	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:04	Referenz I (60 Zyklen)	2,018978	998,000000	5,124335	5,134283	5,080164	5,087543	21,308606	21,349975	4,150000	0,426851	-5227,833565	2474,819474	0,000000	0,000000	-57,089765	16652,704061	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:07	Referenz I (60 Zyklen)	2,035089	1498,000000	7,653137	7,641739	7,608966	7,594999	21,201948	21,170372	4,150000	0,430240	-5230,211954	2474,819474	0,000000	0,000000	-57,118676	16652,704061	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:10	Referenz I (60 Zyklen)	2,039490	1997,000000	10,164613	10,166919	10,120442	10,120178	21,123256	21,128048	4,150000	0,431207	-5226,268836	2474,946170	0,000000	0,000000	-57,070747	16649,994221	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:14	Referenz I (60 Zyklen)	3,036662	499,600000	2,149899	2,148317	2,105728	2,101577	17,858445	17,845310	4,150000	0,642037	-5006,393088	2522,904695	0,000000	0,000000	-54,412620	15624,231189	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:18	Referenz I (60 Zyklen)	3,029524	998,000000	4,253686	4,258100	4,209515	4,211360	17,688173	17,706529	4,150000	0,640485	-5003,889522	2531,427882	0,000000	0,000000	-54,382516	15441,932619	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:21	Referenz I (60 Zyklen)	3,035792	1498,000000	6,353455	6,356683	6,309284	6,309943	17,601361	17,610304	4,150000	0,641803	-5006,580856	2531,307768	0,000000	0,000000	-54,414878	15444,501691	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:25	Referenz I (60 Zyklen)	3,037611	1998,000000	8,454411	8,442881	8,410240	8,396141	17,560463	17,536515	4,150000	0,642227	-5005,704608	2531,301186	0,000000	0,000000	-54,404341	15444,642463	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:28	Referenz I (60 Zyklen)	5,030559	499,600000	1,732066	1,739841	1,687896	1,693100	14,387661	14,452239	4,150000	1,063546	-4593,993042	2571,037693	0,000000	0,000000	-49,501445	14594,736425	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:32	Referenz I (60 Zyklen)	5,030419	998,000000	3,428233	3,422831	3,384062	3,376091	14,255679	14,233214	4,150000	1,063532	-4595,370004	2579,704042	0,000000	0,000000	-49,517686	14409,375846	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:36	Referenz I (60 Zyklen)	5,021586	1498,000000	5,115572	5,112542	5,071401	5,065801	14,171979	14,163583	4,150000	1,061609	-4594,180810	2579,649743	0,000000	0,000000	-49,503660	14410,537209	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:39	Referenz I (60 Zyklen)	5,019735	1998,000000	6,806074	6,808775	6,761903	6,762035	14,136740	14,142351	4,150000	1,061096	-4599,751246	2579,618481	0,000000	0,000000	-49,569369	14411,205873	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:42	Referenz I (60 Zyklen)	6,028869	499,600000	1,602276	1,593053	1,558105	1,546312	13,309540	13,232922	4,150000	1,274600	-4382,817171	2599,452201	0,000000	0,000000	-47,022725	13986,991468	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:47	Referenz I (60 Zyklen)	6,029507	998,000000	3,145725	3,144737	3,101555	3,097997	13,080922	13,076813	4,150000	1,274701	-4385,070381	2608,240316	0,000000	0,000000	-47,049047	13799,026477	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:50	Referenz I (60 Zyklen)	6,025215	1498,000000	4,690559	4,691876	4,646388	4,645136	12,994538	12,998189	4,150000	1,273794	-4385,320738	2608,158046	0,000000	0,000000	-47,051972	13800,786119	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:53	Referenz I (60 Zyklen)	6,025884	1997,000000	6,234667	6,233547	6,190497	6,186807	12,956369	12,954042	4,150000	1,273929	-4388,387607	2608,190954	0,000000	0,000000	-47,087804	13800,082262	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:19:56	Referenz I (60 Zyklen)	9,021646	499,600000	1,333209	1,327411	1,289038	1,280671	11,074491	11,026331	4,150000	1,907309	-3760,054858	2681,390227	0,000000	0,000000	-39,847567	12234,456371	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:01	Referenz I (60 Zyklen)	9,020573	998,000000	2,612136	2,612927	2,567965	2,566187	10,862089	10,865377	4,150000	1,907046	-3758,052004	2690,388974	0,000000	0,000000	-39,824804	12041,986264	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:04	Referenz I (60 Zyklen)	9,015939	1498,000000	3,889614	3,896203	3,845444	3,849463	10,775634	10,793886	4,150000	1,906096	-3759,116020	2690,347839	0,000000	0,000000	-39,836896	12042,866087	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:07	Referenz I (60 Zyklen)	9,013062	1998,000000	5,170980	5,171310	5,126809	5,124569	10,740524	10,741209	4,150000	1,905425	-3762,182890	2690,311640	0,000000	0,000000	-39,871755	12043,640332	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:11	Referenz I (60 Zyklen)	10,027255	499,600000	1,261330	1,266601	1,217159	1,219860	10,477420	10,521202	4,150000	2,119880	-3549,880389	2712,680999	0,000000	0,000000	-37,469389	11565,192308	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:15	Referenz I (60 Zyklen)	10,009309	998,000000	2,486958	2,486562	2,442787	2,439822	10,341558	10,339914	4,150000	2,116000	-3551,132172	2721,780124	0,000000	0,000000	-37,483491	11370,575263	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:18	Referenz I (60 Zyklen)	10,018235	1498,000000	3,696972	3,703626	3,652801	3,656885	10,241944	10,260378	4,150000	2,117976	-3547,814946	2721,753798	0,000000	0,000000	-37,446123	11371,138351	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:22	Referenz I (60 Zyklen)	10,023103	1998,000000	4,906854	4,911861	4,862683	4,865121	10,191913	10,202314	4,150000	2,119068	-3545,874681	2721,770252	0,000000	0,000000	-37,424268	11370,786421	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:25	Referenz I (60 Zyklen)	12,015368	499,600000	1,162966	1,163164	1,118795	1,116423	9,660347	9,661988	4,150000	2,540110	-3133,474550	2764,024448	0,000000	0,000000	-32,818899	10467,030667	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:29	Referenz I (60 Zyklen)	12,012802	998,000000	2,282456	2,275604	2,238285	2,228864	9,491174	9,462682	4,150000	2,539630	-3134,288209	2773,306228	0,000000	0,000000	-32,827908	10268,506916	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:33	Referenz I (60 Zyklen)	12,015773	1498,000000	3,384684	3,406426	3,340514	3,359686	9,376796	9,437028	4,150000	2,540264	-3132,097588	2773,335845	0,000000	0,000000	-32,803652	10267,873442	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:36	Referenz I (60 Zyklen)	12,012507	1997,000000	4,507666	4,492052	4,463496	4,445312	9,367459	9,335010	4,150000	2,539597	-3132,598301	2773,182822	0,000000	0,000000	-32,809196	10271,146392	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:39	Referenz I (60 Zyklen)	15,017410	499,600000	1,046616	1,047143	1,002445	1,000403	8,693869	8,698247	4,150000	3,174791	-2510,837303	2844,177574	0,000000	0,000000	-26,009503	8752,671995	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:44	Referenz I (60 Zyklen)	15,010723	998,000000	2,050612	2,049888	2,006442	2,003147	8,527095	8,524082	4,150000	3,173424	-2505,016508	2853,673279	0,000000	0,000000	-25,946627	8549,572686	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:47	Referenz I (60 Zyklen)	15,007955	1498,000000	3,040180	3,039192	2,996010	2,992452	8,422395	8,419658	4,150000	3,172835	-2509,272573	2853,627207	0,000000	0,000000	-25,992600	8550,558093	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:50	Referenz I (60 Zyklen)	15,010038	1998,000000	4,041476	4,043189	3,997305	3,996448	8,394456	8,398014	4,150000	3,173328	-2508,959627	2853,650243	0,000000	0,000000	-25,989219	8550,065389	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:53	Referenz I (60 Zyklen)	18,002533	499,600000	0,961890	0,966634	0,917719	0,919893	7,990080	8,029483	4,150000	3,805784	-1886,948214	2923,916239	0,000000	0,000000	-19,348902	7047,178016	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:20:58	Referenz I (60 Zyklen)	18,011087	998,000000	1,869170	1,877998	1,824999	1,831258	7,772599	7,809310	4,150000	3,807760	-1874,430374	2933,722951	0,000000	0,000000	-19,216849	6837,426721	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:01	Referenz I (60 Zyklen)	17,993467	1498,000000	2,792393	2,793381	2,748222	2,746641	7,735935	7,738673	4,150000	3,804029	-1881,815900	2933,609417	0,000000	0,000000	-19,294753	6839,855050	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:04	Referenz I (60 Zyklen)	17,985396	1997,000000	3,697037	3,698289	3,652867	3,651549	7,682877	7,685478	4,150000	3,802372	-1886,760446	2933,617644	0,000000	0,000000	-19,346921	6839,679084	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:08	Referenz I (60 Zyklen)	20,004767	499,600000	0,918934	0,915113	0,874763	0,868373	7,633260	7,601519	4,150000	4,229043	-1468,727184	2973,668878	0,000000	0,000000	-14,969479	5983,041489	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:12	Referenz I (60 Zyklen)	19,998764	998,000000	1,779041	1,778646	1,734870	1,731906	7,397817	7,396173	4,150000	4,228010	-1459,714339	2983,651665	0,000000	0,000000	-14,875827	5769,524205	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:15	Referenz I (60 Zyklen)	19,992217	1498,000000	2,644880	2,643958	2,600709	2,597218	7,327271	7,324716	4,150000	4,226600	-1467,162454	2983,661538	0,000000	0,000000	-14,953218	5769,313046	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:19	Referenz I (60 Zyklen)	19,988454	1997,000000	3,508940	3,505251	3,464770	3,458511	7,291989	7,284322	4,150000	4,225692	-1467,850935	2983,572685	0,000000	0,000000	-14,960372	5771,213480	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:22	Referenz I (60 Zyklen)	20,979761	499,600000	0,893240	0,897720	0,849069	0,850980	7,419825	7,457040	4,150000	4,435269	-1270,569769	3004,887517	0,000000	0,000000	-12,917350	5315,320256	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:26	Referenz I (60 Zyklen)	20,981270	998,000000	1,740763	1,734504	1,696592	1,687764	7,238644	7,212617	4,150000	4,435749	-1257,613804	3014,990429	0,000000	0,000000	-12,783678	5099,233663	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:30	Referenz I (60 Zyklen)	20,977475	1498,000000	2,580446	2,589736	2,536275	2,542996	7,148766	7,174502	4,150000	4,434888	-1261,807281	3015,005238	0,000000	0,000000	-12,826937	5098,916924	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:33	Referenz I (60 Zyklen)	20,970881	1997,000000	3,424149	3,430276	3,379978	3,383535	7,115782	7,128515	4,150000	4,433326	-1260,492907	3014,901576	0,000000	0,000000	-12,813378	5101,134099	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:36	Referenz I (60 Zyklen)	24,003308	499,600000	0,836580	0,840072	0,792409	0,793332	6,949173	6,978179	4,150000	5,074372	-635,602269	3081,513415	0,000000	0,000000	-6,436434	3676,403839	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:41	Referenz I (60 Zyklen)	23,997103	998,000000	1,626785	1,627773	1,582614	1,581033	6,764686	6,768796	4,150000	5,073366	-627,027548	3091,775958	0,000000	0,000000	-6,349875	3456,902983	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:44	Referenz I (60 Zyklen)	23,981318	1498,000000	2,419098	2,416067	2,374927	2,369327	6,701773	6,693377	4,150000	5,069792	-628,780046	3091,710141	0,000000	0,000000	-6,367564	3458,310717	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:47	Referenz I (60 Zyklen)	23,970541	1998,000000	3,208776	3,209501	3,164605	3,162760	6,664875	6,666380	4,150000	5,067629	-636,228162	3091,659132	0,000000	0,000000	-6,442753	3459,401711	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:50	Referenz I (60 Zyklen)	26,950569	499,600000	0,800344	0,778932	0,756173	0,732192	6,648175	6,470313	4,150000	5,697452	-21,289146	3158,104941	0,000000	0,000000	-0,297283	2038,222590	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:55	Referenz I (60 Zyklen)	26,988079	998,000000	1,540609	1,542256	1,496439	1,495516	6,406342	6,413191	4,150000	5,705724	-1,260597	3168,670269	0,000000	0,000000	-0,099205	1812,245615	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:21:58	Referenz I (60 Zyklen)	26,985980	1498,000000	2,281533	2,279359	2,237363	2,232619	6,320670	6,314647	4,150000	5,705047	-1,886489	3168,587997	0,000000	0,000000	-0,105393	1814,005287	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:01	Referenz I (60 Zyklen)	26,972325	1998,000000	3,034646	3,025488	2,990475	2,978748	6,303194	6,284172	4,150000	5,702233	-7,644697	3168,545216	0,000000	0,000000	-0,162328	1814,920316	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:05	Referenz I (60 Zyklen)	29,952443	499,600000	0,753369	0,761209	0,709199	0,714469	6,257972	6,323097	4,150000	6,332342	607,231793	3233,831153	0,000000	0,000000	5,858597	418,549152	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:09	Referenz I (60 Zyklen)	29,958835	998,000000	1,462538	1,465700	1,418367	1,418960	6,081695	6,094845	4,150000	6,333611	625,570435	3244,542950	0,000000	0,000000	6,036384	189,439407	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:12	Referenz I (60 Zyklen)	29,947497	1498,000000	2,168148	2,176054	2,123977	2,129314	6,006552	6,028455	4,150000	6,331191	620,688476	3244,511687	0,000000	0,000000	5,989065	190,108083	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:16	Referenz I (60 Zyklen)	29,951743	1997,000000	2,870201	2,873034	2,826030	2,826294	5,964614	5,970502	4,150000	6,332180	616,682766	3244,575859	0,000000	0,000000	5,950234	188,735536	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:26	Referenz I (60 Zyklen)	1,020485	499,600000	3,218658	3,211872	3,174488	3,165132	26,736253	26,679884	4,150000	0,215942	-5430,372107	2445,730446	0,000000	0,000000	-59,563908	17274,876033	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:29	Referenz I (60 Zyklen)	1,030313	998,000000	6,333163	6,341464	6,288992	6,294724	26,335297	26,369817	4,150000	0,217823	-5432,062015	2454,159828	0,000000	0,000000	-59,584656	17094,583813	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:32	Referenz I (60 Zyklen)	1,035320	1498,000000	9,433702	9,442662	9,389531	9,395922	26,134755	26,159578	4,150000	0,218878	-5429,746216	2454,097303	0,000000	0,000000	-59,556224	17095,921136	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:36	Referenz I (60 Zyklen)	1,040421	1997,000000	12,517245	12,526402	12,473074	12,479662	26,012301	26,031332	4,150000	0,219937	-5427,680773	2454,059459	0,000000	0,000000	-59,530869	17096,730568	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:39	Referenz I (60 Zyklen)	2,039785	499,600000	2,451381	2,449272	2,407210	2,402532	20,362751	20,345238	4,150000	0,431250	-5220,448043	2482,600575	0,000000	0,000000	-57,000012	16486,277643	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:43	Referenz I (60 Zyklen)	2,037204	998,000000	4,863502	4,856980	4,819332	4,810240	20,223983	20,196861	4,150000	0,430701	-5219,696973	2490,784801	0,000000	0,000000	-56,990886	16311,228969	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:47	Referenz I (60 Zyklen)	2,036442	1498,000000	7,256123	7,252302	7,211953	7,205562	20,102078	20,091492	4,150000	0,430497	-5218,069655	2490,743666	0,000000	0,000000	-56,971115	16312,108787	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:50	Referenz I (60 Zyklen)	2,040159	1998,000000	9,656915	9,652501	9,612744	9,605761	20,058157	20,048988	4,150000	0,431338	-5217,819298	2490,796319	0,000000	0,000000	-56,968073	16310,982620	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:53	Referenz I (60 Zyklen)	3,028794	499,600000	2,103319	2,099432	2,059148	2,052692	17,471525	17,439236	4,150000	0,640314	-5017,095836	2508,158598	0,000000	0,000000	-54,541356	15939,628735	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:22:58	Referenz I (60 Zyklen)	3,034143	998,000000	4,154004	4,157957	4,109834	4,111217	17,273666	17,290103	4,150000	0,641432	-5013,528254	2516,578122	0,000000	0,000000	-54,498436	15759,547380	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:01	Referenz I (60 Zyklen)	3,030380	1498,000000	6,211411	6,212794	6,167240	6,166054	17,207846	17,211679	4,150000	0,640653	-5016,970658	2516,525469	0,000000	0,000000	-54,539850	15760,673548	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:04	Referenz I (60 Zyklen)	3,031064	1997,000000	8,263085	8,261109	8,218915	8,214369	17,171660	17,167552	4,150000	0,640833	-5015,155572	2516,459653	0,000000	0,000000	-54,518013	15762,081259	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:07	Referenz I (60 Zyklen)	5,021431	499,600000	1,701562	1,707492	1,657392	1,660752	14,134275	14,183529	4,150000	1,061589	-4600,064192	2565,466353	0,000000	0,000000	-49,573062	14713,899288	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:12	Referenz I (60 Zyklen)	5,019316	998,000000	3,367950	3,356750	3,323779	3,310010	14,005003	13,958429	4,150000	1,061060	-4597,748392	2574,027394	0,000000	0,000000	-49,545742	14530,791077	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:15	Referenz I (60 Zyklen)	5,022115	1498,000000	5,015232	5,013058	4,971061	4,966317	13,894000	13,887977	4,150000	1,061810	-4597,310268	2573,999422	0,000000	0,000000	-49,540573	14531,389355	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:18	Referenz I (60 Zyklen)	5,029097	1997,000000	6,664029	6,662053	6,619859	6,615313	13,848634	13,844527	4,150000	1,063227	-4599,563478	2574,038912	0,000000	0,000000	-49,567154	14530,544727	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:22	Referenz I (60 Zyklen)	6,026303	499,600000	1,564525	1,571377	1,520354	1,524637	12,995955	13,052871	4,150000	1,274064	-4388,325018	2604,506889	0,000000	0,000000	-47,087073	13878,879050	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
24.06.2020	15:23:26	Referenz I (60 Zyklen)	6,027377	998,000000	3,087023	3,089132	3,042853	3,042391	12,836821	12,845587	4,150000	1,274258	-4382,504225	2613,250579	0,000000	0,000000	-47,019070	13691,864240	-6,350103	-6,353793	6,438445	6,447273	0,044171	0,046740	0,000000
