Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
25.06.2020	08:29:35	Referenz II (60 Zyklen)	0,994188	499,700000	3,305624	3,301803	3,256216	3,245839	27,453154	27,421419	4,150000	0,210554	-5431,060588	2456,667418	0,000000	0,000000	-59,572361	17040,950125	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:39	Referenz II (60 Zyklen)	1,001715	999,000000	6,575416	6,572913	6,526008	6,516949	27,315293	27,304892	4,150000	0,211774	-5425,865687	2464,917454	0,000000	0,000000	-59,508589	16864,493860	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:42	Referenz II (60 Zyklen)	1,003550	1499,000000	9,831836	9,821426	9,782427	9,765462	27,219558	27,190739	4,150000	0,212162	-5425,990866	2464,843411	0,000000	0,000000	-59,510125	16866,077532	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:45	Referenz II (60 Zyklen)	1,003550	1999,000000	13,076991	13,083711	13,027582	13,027747	27,148330	27,162281	4,150000	0,212162	-5430,059162	2464,907582	0,000000	0,000000	-59,560066	16864,705016	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:48	Referenz II (60 Zyklen)	1,940959	499,700000	2,646330	2,647779	2,596921	2,591815	21,977722	21,989760	4,150000	0,410386	-5241,478004	2469,141197	0,000000	0,000000	-57,255666	16774,154150	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:53	Referenz II (60 Zyklen)	1,973274	999,000000	5,229485	5,219931	5,180076	5,163968	21,724085	21,684400	4,150000	0,417162	-5234,843552	2477,565648	0,000000	0,000000	-57,174985	16593,967399	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:56	Referenz II (60 Zyklen)	1,980972	1499,000000	7,788988	7,788923	7,739580	7,732959	21,563911	21,563728	4,150000	0,418783	-5238,724080	2477,552485	0,000000	0,000000	-57,222173	16594,248941	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:29:59	Referenz II (60 Zyklen)	1,988669	1999,000000	10,357915	10,354555	10,308506	10,298591	21,503425	21,496449	4,150000	0,420420	-5234,530606	2477,519577	0,000000	0,000000	-57,171180	16594,952796	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:30:03	Referenz II (60 Zyklen)	3,022278	499,700000	2,160242	2,160967	2,110834	2,105003	17,940775	17,946794	4,150000	0,638963	-5007,331926	2523,003419	0,000000	0,000000	-54,423910	15622,119623	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:30:07	Referenz II (60 Zyklen)	3,025746	999,000000	4,268839	4,269498	4,219431	4,213534	17,733416	17,736153	4,150000	0,639663	-5003,952111	2531,506862	0,000000	0,000000	-54,383268	15440,243365	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:30:10	Referenz II (60 Zyklen)	3,036678	1499,000000	6,374011	6,376975	6,324602	6,321012	17,646527	17,654735	4,150000	0,641964	-5006,142732	2531,427882	0,000000	0,000000	-54,409609	15441,932619	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
25.06.2020	08:30:14	Referenz II (60 Zyklen)	3,034874	1999,000000	8,484322	8,486233	8,434913	8,430269	17,613775	17,617741	4,150000	0,641567	-5005,767197	2531,352194	0,000000	0,000000	-54,405093	15443,551486	-6,414273	-6,403007	6,513091	6,514935	0,049409	0,055964	0,000000
