Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
25.06.2020	12:20:48	Referenz III (60 Zyklen)	1,001466	499,500000	3,245802	3,238357	3,193660	3,188521	26,967126	26,905272	4,150000	0,211770	-5442,138870	2456,932327	0,000000	0,000000	-59,708413	17035,284099	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:20:51	Referenz III (60 Zyklen)	1,005680	998,000000	6,455047	6,459857	6,402905	6,410020	26,842130	26,862130	4,150000	0,212605	-5440,323785	2465,170846	0,000000	0,000000	-59,686116	16859,074182	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:20:55	Referenz III (60 Zyklen)	1,009241	1498,000000	9,651513	9,647032	9,599370	9,597196	26,738169	26,725758	4,150000	0,213345	-5441,325211	2465,121484	0,000000	0,000000	-59,698417	16860,129963	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:20:58	Referenz III (60 Zyklen)	1,007593	1997,000000	12,842050	12,845015	12,789908	12,795178	26,687285	26,693446	4,150000	0,213062	-5441,012266	2465,154392	0,000000	0,000000	-59,694573	16859,426109	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:01	Referenz III (60 Zyklen)	1,959092	499,500000	2,579458	2,572738	2,527315	2,522901	21,430932	21,375100	4,150000	0,414371	-5257,125295	2468,710102	0,000000	0,000000	-57,446057	16783,374643	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:06	Referenz III (60 Zyklen)	2,000162	998,000000	5,061482	5,069059	5,009339	5,019222	21,047245	21,078751	4,150000	0,422863	-5248,049866	2477,341874	0,000000	0,000000	-57,335612	16598,753610	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:09	Referenz III (60 Zyklen)	2,006911	1498,000000	7,552467	7,551347	7,500324	7,501510	20,923056	20,919953	4,150000	0,424260	-5248,049866	2477,262894	0,000000	0,000000	-57,335612	16600,442861	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:12	Referenz III (60 Zyklen)	2,015635	1998,000000	10,048526	10,043782	9,996383	9,993946	20,871563	20,861710	4,150000	0,426203	-5247,987277	2477,346810	0,000000	0,000000	-57,334851	16598,648032	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:15	Referenz III (60 Zyklen)	3,037564	499,500000	2,094425	2,107667	2,042282	2,057831	17,401127	17,511150	4,150000	0,642145	-5019,849760	2515,273318	0,000000	0,000000	-54,574492	15787,455241	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:20	Referenz III (60 Zyklen)	3,030380	998,000000	4,157760	4,154004	4,105617	4,104168	17,289282	17,273666	4,150000	0,640722	-5020,538241	2523,707652	0,000000	0,000000	-54,582776	15607,057117	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:23	Referenz III (60 Zyklen)	3,037082	1498,000000	6,207853	6,210686	6,155710	6,160849	17,197990	17,205838	4,150000	0,642099	-5021,539667	2523,654999	0,000000	0,000000	-54,594827	15608,183286	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:26	Referenz III (60 Zyklen)	3,034423	1998,000000	8,256299	8,257683	8,204157	8,207846	17,148970	17,151844	4,150000	0,641501	-5021,539667	2523,641835	0,000000	0,000000	-54,594827	15608,464828	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:30	Referenz III (60 Zyklen)	5,023390	499,500000	1,690955	1,687859	1,638813	1,638022	14,048977	14,023250	4,150000	1,061902	-4609,828103	2565,645702	0,000000	0,000000	-49,688280	14710,063272	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:34	Referenz III (60 Zyklen)	5,026733	998,000000	3,337973	3,334613	3,285830	3,284776	13,880349	13,866377	4,150000	1,062753	-4609,327389	2574,231424	0,000000	0,000000	-49,682371	14526,427168	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:37	Referenz III (60 Zyklen)	5,029517	1498,000000	4,977019	4,975834	4,924877	4,925997	13,788138	13,784853	4,150000	1,063306	-4610,579173	2574,244587	0,000000	0,000000	-49,697146	14526,145625	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:41	Referenz III (60 Zyklen)	5,026780	1998,000000	6,616857	6,621930	6,564714	6,572093	13,743722	13,754259	4,150000	1,062668	-4613,082740	2574,216616	0,000000	0,000000	-49,726698	14526,743903	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:44	Referenz III (60 Zyklen)	6,027905	499,500000	1,551480	1,547527	1,499338	1,497690	12,890175	12,857333	4,150000	1,274284	-4400,216961	2602,854901	0,000000	0,000000	-47,226060	13914,212668	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:48	Referenz III (60 Zyklen)	6,019834	998,000000	3,058891	3,048218	3,006749	2,998381	12,719838	12,675456	4,150000	1,272722	-4398,652232	2611,536066	0,000000	0,000000	-47,207768	13728,535195	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:52	Referenz III (60 Zyklen)	6,031358	1498,000000	4,560571	4,552269	4,508428	4,502433	12,634425	12,611427	4,150000	1,275043	-4398,902589	2611,463668	0,000000	0,000000	-47,210694	13730,083680	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:55	Referenz III (60 Zyklen)	6,027796	1997,000000	6,055069	6,066072	6,002927	6,016235	12,583143	12,606008	4,150000	1,274274	-4402,032047	2611,555810	0,000000	0,000000	-47,247280	13728,112880	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:21:58	Referenz III (60 Zyklen)	9,021553	499,500000	1,308700	1,302639	1,256557	1,252802	10,873083	10,822724	4,150000	1,907283	-3775,764742	2679,483197	0,000000	0,000000	-40,026184	12275,244965	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:03	Referenz III (60 Zyklen)	9,023994	998,000000	2,545396	2,549349	2,493254	2,499513	10,584564	10,601002	4,150000	1,907736	-3773,949656	2688,445745	0,000000	0,000000	-40,005541	12083,549113	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:06	Referenz III (60 Zyklen)	9,009034	1498,000000	3,794808	3,788154	3,742666	3,738317	10,512987	10,494552	4,150000	1,904547	-3773,887067	2688,378283	0,000000	0,000000	-40,004829	12084,992023	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:09	Referenz III (60 Zyklen)	9,006546	1997,000000	5,040531	5,036249	4,988388	4,986412	10,474814	10,465915	4,150000	1,904061	-3778,205720	2688,328921	0,000000	0,000000	-40,053948	12086,047811	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:12	Referenz III (60 Zyklen)	10,000476	499,500000	1,230958	1,231880	1,178815	1,182043	10,227176	10,234839	4,150000	2,114369	-3570,722586	2713,612302	0,000000	0,000000	-37,704280	11545,273098	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:17	Referenz III (60 Zyklen)	10,021377	998,000000	2,420152	2,420547	2,368009	2,370711	10,063759	10,065402	4,150000	2,118542	-3557,015556	2722,676874	0,000000	0,000000	-37,549779	11351,395100	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:20	Referenz III (60 Zyklen)	10,010398	1498,000000	3,594655	3,605262	3,542512	3,555425	9,958489	9,987875	4,150000	2,116194	-3562,961528	2722,615993	0,000000	0,000000	-37,616789	11352,697239	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:23	Referenz III (60 Zyklen)	10,007816	1998,000000	4,787737	4,780819	4,735594	4,730982	9,944498	9,930129	4,150000	2,115760	-3565,903219	2722,555113	0,000000	0,000000	-37,649948	11353,999379	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:27	Referenz III (60 Zyklen)	12,005462	499,500000	1,135690	1,140829	1,083548	1,090993	9,435666	9,478361	4,150000	2,538144	-3154,254159	2762,606102	0,000000	0,000000	-33,049087	10497,367034	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:31	Referenz III (60 Zyklen)	12,002150	998,000000	2,229222	2,222041	2,177079	2,172204	9,269811	9,239949	4,150000	2,537345	-3144,865782	2771,889526	0,000000	0,000000	-32,945062	10298,808098	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:34	Referenz III (60 Zyklen)	12,002057	1498,000000	3,306020	3,304966	3,253877	3,255129	9,158866	9,155946	4,150000	2,537384	-3149,434792	2771,869781	0,000000	0,000000	-32,995683	10299,230414	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:38	Referenz III (60 Zyklen)	12,009770	1998,000000	4,390987	4,389999	4,338844	4,340162	9,120418	9,118366	4,150000	2,539012	-3147,181581	2771,854972	0,000000	0,000000	-32,970718	10299,547151	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:41	Referenz III (60 Zyklen)	15,014735	499,500000	1,027773	1,037656	0,975631	0,987819	8,539059	8,621166	4,150000	3,174446	-2522,979606	2843,655976	0,000000	0,000000	-26,140709	8763,828203	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
25.06.2020	12:22:45	Referenz III (60 Zyklen)	15,013320	998,000000	1,999487	2,002056	1,947344	1,952220	8,314500	8,325184	4,150000	3,173927	-2518,410595	2853,189526	0,000000	0,000000	-26,091330	8559,919455	-6,300032	-6,303919	6,404317	6,403592	0,052143	0,049837	0,000000
